5a393d68ed295900010384ca,04337,1018,1034,1060
5a393eceed295900010386a8,04337,1018,1034,1060
5a394475ed29590001038e43,01001,01001,01001,01001
5a393ef6a825610001bb6c51,1904,1906,21383,21384
5a3945b0ed29590001038fea,04337,1018,1034,1060
5a39484fed2959000103930c
5a394aa8a825610001bb7aed,153040,16576,16576,16587
5a394b43a825610001bb7ba5,16655,16655,16655,16655
5a394b1fed29590001039651,1498,16099,16117,16118
5a39402ba825610001bb6dc1,1498,16099,16117,16118
5a394c9fed2959000103980a,153040,16576,16576,16587
5a394ce4a825610001bb7d7b,04337,1018,1034,1060
5a39414ba825610001bb6f3d,33198,33201,38960,39131
5a39530eed2959000103a084,04337,1018,1034,1060
5a395341ed2959000103a0e0,04337,1018,1034,1060
5a394d22a825610001bb7dce,04337,1018,1034,1060
